targetSound,s,sh,s,sh,s,sh,l,w,l,w,l,w,t,d,t,d,t,d,th,v,th,v,th,v
contrastSound,sh,s,sh,s,sh,s,w,l,w,l,w,l,d,t,d,t,d,t,v,th,v,th,v,th
folder,S:SH Minimal Pairs - Initial,S:SH Minimal Pairs - Initial,S:SH Minimal Pairs - Medial,S:SH Minimal Pairs - Medial,S:SH Minimal Pairs - Final,S:SH Minimal Pairs - Final,L:W Minimal Pairs - Initial,L:W Minimal Pairs - Initial,L:W Minimal Pairs - Medial,L:W Minimal Pairs - Medial,L:W Minimal Pairs - Final,L:W Minimal Pairs - Final,T:D Minimal Pairs - Initial,T:D Minimal Pairs - Initial,T:D Minimal Pairs - Medial,T:D Minimal Pairs - Medial,T:D Minimal Pairs - Final,T:D Minimal Pairs - Final,TH:V Minimal Pairs - Initial,TH:V Minimal Pairs - Initial,TH:V Minimal Pairs - Medial,TH:V Minimal Pairs - Medial,TH:V Minimal Pairs - Final,TH:V Minimal Pairs - Final
word1,saggy/shaggy,saggy/shaggy,mustard/mushroom,mustard/mushroom,bus/bush,bus/bush,low/woah,low/woah,Callie/kiwi,Callie/kiwi,call/caw,call/caw,ten/den,ten/den,writer/rider,writer/rider,bat/bad,bat/bad,those/vote,those/vote,other/over,other/over,smooth/stove,smooth/stove
word2,sale/shale,sale/shale,custard/cashew,custard/cashew,lass/lash,lass/lash,lie/why,lie/why,Molly/mower,Molly/mower,whale/wow,whale/wow,toe/dough,toe/dough,waiting/wading,waiting/wading,coat/code,coat/code,they/vase,they/vase,tether/Trevor,tether/Trevor,soothe/sleeve,soothe/sleeve
word3,sea/she,sea/she,tassle/trash can,tassle/trash can,mess/mesh,mess/mesh,lair/where,lair/where,Polly/power,Polly/power,owl/ow,owl/ow,tart/dart,tart/dart,water/wader,water/wader,feet/feed,feet/feed,that/vat,that/vat,brother/river,brother/river,bathe/brave,bathe/brave
word4,seat/shet,seat/shet,faster/flashlight,faster/flashlight,gas/gash,gas/gash,late/weight,late/weight,hilly/Hawaii,hilly/Hawaii,veil/vow,veil/vow,time/dime,time/dime,petal/pedal,petal/pedal,hat/had,hat/had,them/vent,them/vent,mother/moving,mother/moving,breathe/leave,breathe/leave
word5,sell/shell,sell/shell,whistle/washer,whistle/washer,class/clash,class/clash,Lynn/win,Lynn/win,salamander/sandwich,salamander/sandwich,bowl/bow,bowl/bow,town/down,town/down,kitty/kiddy,kitty/kiddy,hit/hid,hit/hid,than/van,than/van,slither/seven,slither/seven,clothe/clove,clothe/clove
word6,sign/shine,sign/shine,dancer/dasher,dancer/dasher,race/rash,race/rash,liar/wire,liar/wire,alone/award,alone/award,seal/sew,seal/sew,tip/dip,tip/dip,later/ladder,later/ladder,kit/kid,kit/kid,these/Vs,these/Vs,Heather/heavy,Heather/heavy,teethe/weave,teethe/weave
word7,stare/share,stare/share,sassy/seashell,sassy/seashell,case/cash,case/cash,listen/whistle,listen/whistle,alien/awake,alien/awake,shell/show,shell/show,tear/deer,tear/deer,metal/medal,metal/medal,light/lied,light/lied,there/very,there/very,weather/wavy,weather/wavy,seethe/Steve,seethe/Steve
word8,sue/suit,sue/suit,muscle/marshmallow,muscle/marshmallow,brass/brush,brass/brush,let/wet,let/wet,Sally/seaweed,Sally/seaweed,goal/grow,goal/grow,tent/dent,tent/dent,mighty/muddy,mighty/muddy,pot/pod,pot/pod,this/visit,this/visit,feather/favorite,feather/favorite,loathe/love,loathe/love
word9,sty/shy,sty/shy,pacifier/pushing,pacifier/pushing,rice/rush,rice/rush,lamb/wham,lamb/wham,a leak/a week,a leak/a week,snail/snow,snail/snow,t/d,t/d,batty/baddy,batty/baddy,root/rude,root/rude,the/vanilla,the/vanilla,leather/lava,leather/lava,lathe/cave,lathe/cave
word10,spot/shot,spot/shot,cassette/cashier ,cassette/cashier ,less/leash,less/leash,lime/whine,lime/whine,tally/towel,tally/towel,tall/tow,tall/tow,tune/dune,tune/dune,battle/bandaid,battle/bandaid,seat/seed,seat/seed,though/vote,though/vote,smoothie/movie,smoothie/movie,sunbathe/a wave,sunbathe/a wave
word11,sore/shore,sore/shore,braces/brushes,braces/brushes,nice/Nash,nice/Nash,land/wand,land/wand,Shelly/shower,Shelly/shower,roll/row,roll/row,tie/dye,tie/dye,cutie/Cody,cutie/Cody,tight/tied,tight/tied,then/vet,then/vet,dither/diver,dither/diver,wreathe/heave,wreathe/heave
word12,stir/sure,stir/sure,faucet/fashion,faucet/fashion,peace/push,peace/push,lace/waist,lace/waist,hollow/homework,hollow/homework,rail/raw,rail/raw,tow/doe,tow/doe,mitten/middle,mitten/middle,wet/wed,wet/wed,their/veggie,their/veggie,father/favor,father/favor,unclothe/above,unclothe/above
word13,,,,,,,,,,,mole/mow,mole/mow,tore/door,tore/door,,,write/ride,write/ride,,,,,,
word14,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
setID,g/k-ig,g/k-ik,g/k-mg,g/k-mk,g/k-fg,g/k-fk,f/v-if,f/v-iv,f/v-mf,f/v-mv,f/v-ff,f/v-fv,s/z-si,s/z-zi,s/z-sm,s/z-zm,s/z-sf,s/z-zf,f/p-fi,f/p-pi,f/p-fi,f/p-pi,f/p-ff,f/p-pf
