phonological_process,process_category,sound_a,sound_b,position,folder_name,folder_name_slash
Fronting,Substitution,G,D,Medial,G-D Minimal Pairs - Medial,G/D Minimal Pairs - Medial
Final Consonant Devoicing,Assimilation,G,K,Final,G-K Minimal Pairs - Final,G/K Minimal Pairs - Final
Cluster Reduction,Syllable Structure,GL,G,Initial,GL Cluster Minimal Pairs - Initial,GL Cluster Minimal Pairs - Initial
Cluster Reduction,Syllable Structure,GR,G,Initial,GR Cluster Minimal Pairs - Initial,GR Cluster Minimal Pairs - Initial
Initial Consonant Deletion,Syllable Structure,H,(deleted),Initial,Initial H Minimal Pairs - Initial,H/(deleted) Minimal Pairs - Initial
Stopping,Substitution,H,B,Final,H-B Minimal Pairs - Final,H/B Minimal Pairs - Final
Stopping,Substitution,H,B,Initial,H-B Minimal Pairs - Initial,H/B Minimal Pairs - Initial
Stopping,Substitution,H,B,Medial,H-B Minimal Pairs - Medial,H/B Minimal Pairs - Medial
Stopping,Substitution,H,D,Final,H-D Minimal Pairs - Final,H/D Minimal Pairs - Final
Stopping,Substitution,H,D,Initial,H-D Minimal Pairs - Initial,H/D Minimal Pairs - Initial
Stopping,Substitution,H,D,Medial,H-D Minimal Pairs - Medial,H/D Minimal Pairs - Medial
Stopping,Substitution,H,G,Final,H-G Minimal Pairs - Final,H/G Minimal Pairs - Final
Stopping,Substitution,H,G,Initial,H-G Minimal Pairs - Initial,H/G Minimal Pairs - Initial
Stopping,Substitution,H,G,Medial,H-G Minimal Pairs - Medial,H/G Minimal Pairs - Medial
Stopping,Substitution,H,K,Final,H-K Minimal Pairs - Final,H/K Minimal Pairs - Final
Stopping,Substitution,H,K,Initial,H-K Minimal Pairs - Initial,H/K Minimal Pairs - Initial
Stopping,Substitution,H,K,Medial,H-K Minimal Pairs - Medial,H/K Minimal Pairs - Medial
Stopping,Substitution,H,P,Final,H-P Minimal Pairs - Final,H/P Minimal Pairs - Final
Stopping,Substitution,H,P,Initial,H-P Minimal Pairs - Initial,H/P Minimal Pairs - Initial
Stopping,Substitution,H,P,Medial,H-P Minimal Pairs - Medial,H/P Minimal Pairs - Medial
Stopping,Substitution,H,T,Final,H-T Minimal Pairs - Final,H/T Minimal Pairs - Final
Stopping,Substitution,H,T,Initial,H-T Minimal Pairs - Initial,H/T Minimal Pairs - Initial
Stopping,Substitution,H,T,Medial,H-T Minimal Pairs - Medial,H/T Minimal Pairs - Medial
Initial Consonant Deletion,Syllable Structure,J,(deleted),Initial,Initial J Minimal Pairs - Initial,J/(deleted) Minimal Pairs - Initial
Stopping,Substitution,J,B,Final,J-B Minimal Pairs - Final,J/B Minimal Pairs - Final
Stopping,Substitution,J,B,Initial,J-B Minimal Pairs - Initial,J/B Minimal Pairs - Initial
Stopping,Substitution,J,B,Medial,J-B Minimal Pairs - Medial,J/B Minimal Pairs - Medial
Stopping,Substitution,J,D,Final,J-D Minimal Pairs - Final,J/D Minimal Pairs - Final
Stopping,Substitution,J,D,Initial,J-D Minimal Pairs - Initial,J/D Minimal Pairs - Initial
Stopping,Substitution,J,D,Medial,J-D Minimal Pairs - Medial,J/D Minimal Pairs - Medial
Stopping,Substitution,J,G,Final,J-G Minimal Pairs - Final,J/G Minimal Pairs - Final
Stopping,Substitution,J,G,Initial,J-G Minimal Pairs - Initial,J/G Minimal Pairs - Initial
Stopping,Substitution,J,G,Medial,J-G Minimal Pairs - Medial,J/G Minimal Pairs - Medial
Stopping,Substitution,J,K,Final,J-K Minimal Pairs - Final,J/K Minimal Pairs - Final
